ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"45.131.211.55","elite","AS209242","BZ","Cloudflare London, LLC","7","Inter Networks","80","http","31701","100","23","23","2025-06-26T16:50:09.252Z","4170"
"103.21.244.132","elite","AS13335","CA","CLOUDFLARE","7","Cloudflare, inc.","80","http","31700","100","27","27","2025-06-26T16:50:09.253Z","4010"
"47.107.65.98","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","248","Aliyun Computing Co., LTD","80","socks4","1","10","1010","10003","2025-06-26T16:50:09.632Z","4071"
"45.67.214.176","elite","AS209242","CY","Cloudflare London, LLC","7","Liriona LTD","80","http","61801","100","13","13","2025-06-26T16:49:35.052Z","3589"
"172.64.148.165","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","61621","100","13","13","2025-06-26T16:49:35.140Z","2084"
"197.234.13.49","elite","AS36902","SC","Intelvision","121","Intelvision Ltd","4145","socks4","1","99","9942","10033","2025-06-26T16:49:35.346Z","4666"
"103.65.214.166","elite","AS135449","ID","PT.Broadband Indonesia Pratama","264","N/A","4145","socks4","1","94","3083","3278","2025-06-26T16:49:35.356Z","4708"
"36.79.139.70","elite","AS7713","ID","PT. Telekomunikasi Indonesia","246","N/A","8080","socks4","1","63","1597","2523","2025-06-26T16:49:35.356Z","4089"
"104.255.170.66","elite","AS397373","US","H4Y Technologies LLC","149","N/A","50109","socks5","1","100","10054","10063","2025-06-26T16:49:35.627Z","3876"
"45.196.148.117","elite","AS7018","US","AT&T Enterprises, LLC","84","Cloud Innovation Ltd","5432","socks4","1","96","9655","10014","2025-06-26T16:49:35.348Z","4389"
"1.10.133.77","elite","AS23969","TH","TOT Public Company Limited","198","Shared Dynamic IP Address for Residential Broadband Services","4145","socks4","1","64","6423","9973","2025-06-26T16:49:35.352Z","4384"
"104.27.8.141","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","61898","100","13","13","2025-06-26T16:49:35.028Z","4306"
"190.0.22.36","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","160","EPM Telecomunicaciones S.A. E.S.P","61155","socks5","1","99","9960","10014","2025-06-26T16:49:35.350Z","4503"
"123.112.160.187","elite","AS4808","CN","China Unicom Beijing Province Network","240","N/A","8090","socks4","1","97","76","78","2025-06-26T16:49:35.354Z","4700"
"139.59.61.193","elite","AS14061","IN","DigitalOcean, LLC","155","DigitalOcean, LLC","42871","socks4","1","100","2883","2892","2025-06-26T16:49:35.558Z","4480"
"185.148.104.170","elite","AS209242","RU","Cloudflare London, LLC","7","Dolgova Alena Andreevna","80","http","61408","100","12","12","2025-06-26T16:49:35.260Z","2433"
"104.21.18.155","elite","AS13335","CA","Cloudflare, Inc.","11","Cloudflare, Inc.","80","http","61781","100","12","12","2025-06-26T16:49:35.061Z","1087"
"111.193.226.62","elite","AS4808","CN","China Unicom Beijing Province Network","213","N/A","23456","socks4","1","54","5441","10001","2025-06-26T16:49:35.359Z","4989"
"172.67.8.157","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","61705","100","13","13","2025-06-26T16:49:35.126Z","3096"
"104.18.151.189","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","61376","100","12","12","2025-06-26T16:49:35.333Z","3187"
"172.67.199.128","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","61379","100","12","12","2025-06-26T16:49:35.330Z","2107"
"5.10.245.91","elite","AS209242","CW","Cloudflare London, LLC","4","Hollycorn N.V","80","http","61700","100","12","12","2025-06-26T16:49:35.133Z","1011"
"23.94.21.34","elite","AS36352","US","HostPapa","103","N/A","3246","socks4","1","92","928","1007","2025-06-26T16:49:35.352Z","5084"
"172.67.161.229","elite","AS13335","CA","Cloudflare, Inc.","10","Cloudflare, Inc.","80","http","61502","100","13","13","2025-06-26T16:49:35.234Z","491"
"103.21.244.22","elite","AS13335","CA","CLOUDFLARE","4","Cloudflare, inc.","80","http","61891","100","27","27","2025-06-26T16:49:35.033Z","3901"
"172.67.137.250","elite","AS13335","CA","Cloudflare, Inc.","62","Cloudflare, Inc.","80","http","61691","100","22","22","2025-06-26T16:49:35.138Z","4603"
"188.114.97.18","elite","AS13335","CA","Cloudflare, Inc.","7","CloudFlare, Inc.","80","http","61316","100","11","11","2025-06-26T16:49:35.266Z","2587"
"34.124.190.108","elite","N/A","US","Google LLC","198","N/A","8080","socks4","1","100","77","77","2025-06-26T16:49:35.362Z","4684"
"168.181.191.162","elite","AS265346","BR","BLR Telecomunica??es Ltda. - EPP","254","BLR Telecomunicações Ltda. - EPP","4153","socks4","1","92","2642","2883","2025-06-26T16:49:35.358Z","3292"
"221.231.13.198","elite","AS4134","CN","Chinanet","291","N/A","1080","http","61505","100","24","24","2025-06-26T16:49:35.231Z","4793"
"43.156.19.112","elite","AS132203","SG","Shenzhen Tencent Computer Systems Company Limited","245","Tencent Cloud Computing","20357","socks4","69","100","178","178","2025-06-26T16:49:35.634Z","4071"
"172.66.47.2","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","61423","100","25","25","2025-06-26T16:49:35.257Z","2992"
"217.218.242.75","elite","AS58224","IR","Iran Telecommunication Company PJS","83","Telecommunication Company of Semnan","5678","socks4","1","98","2942","3003","2025-06-26T16:49:35.360Z","2423"
"80.234.19.118","elite","AS12389","RU","Rostelecom networks","63","JSC VolgaTelecom Samara branch","7788","socks5","1","46","1461","3160","2025-06-26T16:49:35.355Z","4968"
"101.43.156.158","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","250","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks4","1","46","4660","10022","2025-06-26T16:49:35.349Z","3113"
"177.131.29.210","elite","AS262378","BR","Compuservice Empreendimentos Ltda","244","Compuservice Empreendimentos Ltda","4153","socks4","1","98","3291","3362","2025-06-26T16:49:35.346Z","4321"
"172.67.148.149","elite","AS13335","CA","Cloudflare, Inc.","7","Cloudflare, Inc.","80","http","61792","100","20","20","2025-06-26T16:49:35.056Z","624"
"221.153.92.39","elite","AS4766","KR","Korea Telecom","280","Kornet","80","socks4","1","97","2008","2065","2025-06-26T16:49:35.356Z","4326"
"171.234.64.234","elite","AS7552","VN","Viettel Corporation","263","VIETEL","80","socks4","1","72","7233","10009","2025-06-26T16:49:35.351Z","3613"
"195.245.221.72","elite","AS209242","KZ","Cloudflare London, LLC","7","\"Betting company PARIMATCH.KZ\" LLP","80","http","61424","100","29","29","2025-06-26T16:49:35.256Z","3780"
"113.8.212.126","elite","AS4837","CN","CNC Group CHINA169 Heilongjiang Province Network","205","N/A","7242","socks5","1","34","3377","9978","2025-06-26T16:49:35.353Z","4479"
"45.12.30.62","elite","AS209242","GB","Cloudflare London, LLC","4","LIR Services","80","http","61908","100","28","28","2025-06-26T16:49:35.027Z","4708"
"182.50.8.219","elite","AS4837","CN","CHINA UNICOM China169 Backbone","193","Unicom (Jiangsu) Industry Internet Co. LTD","80","socks4","1","100","2320","2329","2025-06-26T16:49:35.357Z","3911"
"178.79.144.186","elite","AS63949","GB","Linode","15","Linode, LLC","8080","socks5","1","100","10033","10035","2025-06-26T16:49:35.351Z","4018"
"182.16.175.161","elite","AS17995","ID","SOLUSINET","170","N/A","5678","socks4","1","98","3245","3304","2025-06-26T16:49:35.426Z","2689"
"104.16.0.86","elite","AS13335","CA","Cloudflare, Inc.","4","Cloudflare, Inc.","80","http","61978","100","13","13","2025-06-26T16:49:34.962Z","2567"
"36.64.62.111","elite","AS7713","ID","PT. Telekomunikasi Indonesia","190","N/A","5678","socks4","1","95","3184","3361","2025-06-26T16:49:03.446Z","5087"
"149.19.34.150","elite","AS396253","JP","iboss, inc","261","IBOSS","80","socks4","1","100","102","102","2025-06-26T16:49:03.454Z","4178"
"138.201.21.228","elite","AS24940","DE","Hetzner Online GmbH","12","Hetzner","12472","socks4","1","61","2017","3292","2025-06-26T16:49:03.446Z","4677"
"107.152.98.5","elite","AS46562","US","Performive LLC","151","Performive LLC","4145","socks4","1","96","77","80","2025-06-26T16:49:03.429Z","3697"
"1.1.193.51","elite","AS23969","TH","TOT Public Company Limited","203","TOT Public Company Limited","4145","socks4","1","38","3768","10024","2025-06-26T16:49:03.450Z","4593"
"103.51.44.221","elite","AS133819","ID","CIM","189","N/A","4145","socks4","1","99","9964","10108","2025-06-26T16:49:03.448Z","4786"
"67.206.213.202","elite","AS11992","PR","Liberty Mobile Puerto Rico Inc.","118","AT&T Mobility Puerto Rico","55555","socks4","1","100","82","82","2025-06-26T16:49:03.350Z","3591"
"111.119.231.48","elite","AS136907","SG","Huawei International Pte. LTD","336","N/A","39430","socks4","1","99","144","146","2025-06-26T16:49:03.433Z","4602"
"31.146.161.194","elite","AS35805","GE","JSC \"Silknet\"","69","Silknet Gpon","5678","socks4","1","98","9846","10061","2025-06-26T16:49:03.348Z","3108"
"124.105.29.181","elite","AS9299","PH","Philippine Long Distance Telephone Co.","217","Philstocks Financial, Inc.","13629","socks4","1","98","9858","10036","2025-06-26T16:49:03.438Z","5004"
"138.97.0.66","elite","AS262346","BR","FP Telecomunicacoes Ltda","210","FP Telecomunicacoes Ltda","4145","socks4","1","80","8004","9987","2025-06-26T16:49:03.660Z","516"
"24.249.199.12","elite","AS22773","US","Cox Communications Inc.","237","Cox Communications","4145","socks4","1","69","107","156","2025-06-26T16:49:03.447Z","4087"
"121.141.50.246","elite","AS4766","KR","Korea Telecom","283","Kornet","5678","socks4","1","70","6998","10044","2025-06-26T16:49:03.351Z","3678"
"217.20.189.149","elite","AS1820","UA","WNET TELECOM USA Corp.","39","LoadMe","5678","socks4","1","91","9137","10013","2025-06-26T16:49:03.661Z","4982"
"110.77.171.70","elite","AS131090","TH","CAT Telecom Public Company Limited","216","CAT BB","8080","socks4","1","70","6986","10029","2025-06-26T16:49:03.429Z","3484"
"123.118.230.220","elite","AS4808","CN","China Unicom Beijing Province Network","215","N/A","44844","socks5","1","81","8045","9948","2025-06-26T16:49:03.350Z","4590"
